,SPRADDR_ZIP_PR,Unnamed: 0,SEMESTER,IRO_INSTITUTION_DESCL,ENROLLMENT,YEAR
0,HI,2684,Fall 2014,University of Hawai`i at Manoa,53,2014
1,HI,2687,Fall 2014,University of Hawai`i at Manoa,127,2014
2,HI,2689,Fall 2014,University of Hawai`i at Manoa,6,2014
3,HI,2693,Fall 2014,University of Hawai`i at Manoa,16,2014
4,HI,2694,Fall 2014,University of Hawai`i at Manoa,15,2014
5,CA,2697,Fall 2014,University of Hawai`i at Manoa,1,2014
6,CA,2698,Fall 2014,University of Hawai`i at Manoa,1,2014
7,HI,2700,Fall 2014,University of Hawai`i at Manoa,126,2014
8,AZ,2702,Fall 2014,University of Hawai`i at Manoa,1,2014
9,CA,2703,Fall 2014,University of Hawai`i at Manoa,1,2014
10,HI,2714,Fall 2014,University of Hawai`i at Manoa,12,2014
11,CA,2715,Fall 2014,University of Hawai`i at Manoa,1,2014
12,SC,2718,Fall 2014,University of Hawai`i at Manoa,1,2014
13,HI,2721,Fall 2014,University of Hawai`i at Manoa,83,2014
14,HI,2723,Fall 2014,University of Hawai`i at Manoa,189,2014
15,CT,2725,Fall 2014,University of Hawai`i at Manoa,1,2014
17,NC,2729,Fall 2014,University of Hawai`i at Manoa,1,2014
18,HI,2730,Fall 2014,University of Hawai`i at Manoa,263,2014
19,HI,2734,Fall 2014,University of Hawai`i at Manoa,82,2014
20,HI,2735,Fall 2014,University of Hawai`i at Manoa,150,2014
21,FL,2736,Fall 2014,University of Hawai`i at Manoa,2,2014
22,CA,2738,Fall 2014,University of Hawai`i at Manoa,1,2014
23,HI,2739,Fall 2014,University of Hawai`i at Manoa,138,2014
24,HI,2740,Fall 2014,University of Hawai`i at Manoa,49,2014
25,HI,2741,Fall 2014,University of Hawai`i at Manoa,2,2014
26,HI,2742,Fall 2014,University of Hawai`i at Manoa,56,2014
27,HI,2744,Fall 2014,University of Hawai`i at Manoa,65,2014
29,HI,2748,Fall 2014,University of Hawai`i at Manoa,5,2014
30,WA,2756,Fall 2014,University of Hawai`i at Manoa,10,2014
31,HI,2758,Fall 2014,University of Hawai`i at Manoa,95,2014
32,CA,2760,Fall 2014,University of Hawai`i at Manoa,1,2014
33,HI,2761,Fall 2014,University of Hawai`i at Manoa,48,2014
34,HI,2763,Fall 2014,University of Hawai`i at Manoa,52,2014
35,AK,2771,Fall 2014,University of Hawai`i at Manoa,1,2014
36,HI,2773,Fall 2014,University of Hawai`i at Manoa,85,2014
37,HI,2775,Fall 2014,University of Hawai`i at Manoa,33,2014
38,HI,2780,Fall 2014,University of Hawai`i at Manoa,38,2014
39,CA,2785,Fall 2014,University of Hawai`i at Manoa,1,2014
40,HI,2788,Fall 2014,University of Hawai`i at Manoa,8,2014
41,OR,2789,Fall 2014,University of Hawai`i at Manoa,2,2014
42,WI,2790,Fall 2014,University of Hawai`i at Manoa,1,2014
43,HI,2796,Fall 2014,University of Hawai`i at Manoa,3,2014
44,HI,2797,Fall 2014,University of Hawai`i at Manoa,114,2014
45,OR,2798,Fall 2014,University of Hawai`i at Manoa,1,2014
46,HI,2801,Fall 2014,University of Hawai`i at Manoa,50,2014
47,HI,2803,Fall 2014,University of Hawai`i at Manoa,61,2014
48,IA,2807,Fall 2014,University of Hawai`i at Manoa,2,2014
49,CO,2808,Fall 2014,University of Hawai`i at Manoa,1,2014
50,HI,2809,Fall 2014,University of Hawai`i at Manoa,10,2014
51,CA,2815,Fall 2014,University of Hawai`i at Manoa,1,2014
52,CA,2816,Fall 2014,University of Hawai`i at Manoa,1,2014
53,CA,2817,Fall 2014,University of Hawai`i at Manoa,1,2014
54,CA,2818,Fall 2014,University of Hawai`i at Manoa,1,2014
55,NM,2819,Fall 2014,University of Hawai`i at Manoa,1,2014
56,OR,2820,Fall 2014,University of Hawai`i at Manoa,1,2014
57,CO,2821,Fall 2014,University of Hawai`i at Manoa,1,2014
58,HI,2826,Fall 2014,University of Hawai`i at Manoa,1,2014
59,CA,2830,Fall 2014,University of Hawai`i at Manoa,1,2014
60,HI,2831,Fall 2014,University of Hawai`i at Manoa,10,2014
61,CA,2833,Fall 2014,University of Hawai`i at Manoa,2,2014
62,CA,2834,Fall 2014,University of Hawai`i at Manoa,1,2014
63,HI,2836,Fall 2014,University of Hawai`i at Manoa,5,2014
64,IN,2839,Fall 2014,University of Hawai`i at Manoa,1,2014
65,HI,2842,Fall 2014,University of Hawai`i at Manoa,1,2014
66,CA,2847,Fall 2014,University of Hawai`i at Manoa,2,2014
67,PA,2850,Fall 2014,University of Hawai`i at Manoa,1,2014
68,KY,2859,Fall 2014,University of Hawai`i at Manoa,1,2014
69,CA,2860,Fall 2014,University of Hawai`i at Manoa,1,2014
70,CA,2861,Fall 2014,University of Hawai`i at Manoa,2,2014
71,CA,2864,Fall 2014,University of Hawai`i at Manoa,2,2014
72,CA,2865,Fall 2014,University of Hawai`i at Manoa,1,2014
73,HI,2866,Fall 2014,University of Hawai`i at Manoa,34,2014
74,NJ,2868,Fall 2014,University of Hawai`i at Manoa,1,2014
75,HI,2870,Fall 2014,University of Hawai`i at Manoa,6,2014
76,CA,2871,Fall 2014,University of Hawai`i at Manoa,2,2014
77,AZ,2873,Fall 2014,University of Hawai`i at Manoa,1,2014
78,HI,2874,Fall 2014,University of Hawai`i at Manoa,6,2014
79,NY,2875,Fall 2014,University of Hawai`i at Manoa,1,2014
80,NC,2877,Fall 2014,University of Hawai`i at Manoa,1,2014
81,HI,2879,Fall 2014,University of Hawai`i at Manoa,4,2014
82,HI,2881,Fall 2014,University of Hawai`i at Manoa,1,2014
83,HI,2885,Fall 2014,University of Hawai`i at Manoa,1,2014
84,HI,2886,Fall 2014,University of Hawai`i at Manoa,3,2014
85,CA,2895,Fall 2014,University of Hawai`i at Manoa,4,2014
86,HI,2896,Fall 2014,University of Hawai`i at Manoa,1,2014
87,HI,2901,Fall 2014,University of Hawai`i at Manoa,1,2014
88,HI,2904,Fall 2014,University of Hawai`i at Manoa,1,2014
89,HI,2909,Fall 2014,University of Hawai`i at Manoa,3,2014
90,HI,2910,Fall 2014,University of Hawai`i at Manoa,10,2014
91,NV,2921,Fall 2014,University of Hawai`i at Manoa,1,2014
92,TX,2922,Fall 2014,University of Hawai`i at Manoa,1,2014
93,HI,2926,Fall 2014,University of Hawai`i at Manoa,7,2014
94,HI,2927,Fall 2014,University of Hawai`i at Manoa,3,2014
95,HI,2929,Fall 2014,University of Hawai`i at Manoa,17,2014
96,WA,2930,Fall 2014,University of Hawai`i at Manoa,1,2014
97,CA,2931,Fall 2014,University of Hawai`i at Manoa,4,2014
98,HI,2932,Fall 2014,University of Hawai`i at Manoa,8,2014
99,NV,2933,Fall 2014,University of Hawai`i at Manoa,1,2014
101,HI,2948,Fall 2014,University of Hawai`i at Manoa,12,2014
102,HI,2951,Fall 2014,University of Hawai`i at Manoa,1,2014
103,HI,2953,Fall 2014,University of Hawai`i at Manoa,1,2014
104,NC,2956,Fall 2014,University of Hawai`i at Manoa,2,2014
105,DC,2961,Fall 2014,University of Hawai`i at Manoa,1,2014
106,CA,2963,Fall 2014,University of Hawai`i at Manoa,1,2014
107,UT,2972,Fall 2014,University of Hawai`i at Manoa,1,2014
108,CA,2976,Fall 2014,University of Hawai`i at Manoa,1,2014
109,OH,2979,Fall 2014,University of Hawai`i at Manoa,1,2014
110,OH,2980,Fall 2014,University of Hawai`i at Manoa,1,2014
111,HI,2981,Fall 2014,University of Hawai`i at Manoa,9,2014
112,CA,2982,Fall 2014,University of Hawai`i at Manoa,1,2014
113,MA,2984,Fall 2014,University of Hawai`i at Manoa,2,2014
114,FL,2985,Fall 2014,University of Hawai`i at Manoa,1,2014
115,HI,2986,Fall 2014,University of Hawai`i at Manoa,15,2014
116,WA,2991,Fall 2014,University of Hawai`i at Manoa,1,2014
117,SC,2992,Fall 2014,University of Hawai`i at Manoa,1,2014
118,CA,2994,Fall 2014,University of Hawai`i at Manoa,3,2014
119,CA,2996,Fall 2014,University of Hawai`i at Manoa,3,2014
120,MA,2997,Fall 2014,University of Hawai`i at Manoa,1,2014
121,CA,3002,Fall 2014,University of Hawai`i at Manoa,1,2014
122,ID,3003,Fall 2014,University of Hawai`i at Manoa,2,2014
123,CA,3004,Fall 2014,University of Hawai`i at Manoa,1,2014
124,CA,3006,Fall 2014,University of Hawai`i at Manoa,1,2014
125,WA,3007,Fall 2014,University of Hawai`i at Manoa,1,2014
126,WA,3009,Fall 2014,University of Hawai`i at Manoa,1,2014
127,NJ,3010,Fall 2014,University of Hawai`i at Manoa,1,2014
128,CA,3011,Fall 2014,University of Hawai`i at Manoa,1,2014
129,CO,3013,Fall 2014,University of Hawai`i at Manoa,1,2014
130,ID,3015,Fall 2014,University of Hawai`i at Manoa,2,2014
131,CA,3016,Fall 2014,University of Hawai`i at Manoa,3,2014
132,HI,3026,Fall 2014,University of Hawai`i at Manoa,6,2014
133,CO,3030,Fall 2014,University of Hawai`i at Manoa,3,2014
134,OH,3031,Fall 2014,University of Hawai`i at Manoa,1,2014
135,HI,3035,Fall 2014,University of Hawai`i at Manoa,3,2014
136,HI,3036,Fall 2014,University of Hawai`i at Manoa,2,2014
137,CA,3039,Fall 2014,University of Hawai`i at Manoa,4,2014
138,CA,3041,Fall 2014,University of Hawai`i at Manoa,1,2014
139,HI,3043,Fall 2014,University of Hawai`i at Manoa,1,2014
140,CA,3047,Fall 2014,University of Hawai`i at Manoa,4,2014
141,CA,3051,Fall 2014,University of Hawai`i at Manoa,2,2014
142,CA,3053,Fall 2014,University of Hawai`i at Manoa,2,2014
143,CO,3055,Fall 2014,University of Hawai`i at Manoa,2,2014
144,CA,3056,Fall 2014,University of Hawai`i at Manoa,1,2014
145,IA,3057,Fall 2014,University of Hawai`i at Manoa,1,2014
146,MA,3058,Fall 2014,University of Hawai`i at Manoa,1,2014
147,CA,3061,Fall 2014,University of Hawai`i at Manoa,3,2014
148,IL,3065,Fall 2014,University of Hawai`i at Manoa,1,2014
149,CA,3069,Fall 2014,University of Hawai`i at Manoa,2,2014
150,WA,3071,Fall 2014,University of Hawai`i at Manoa,1,2014
151,CA,3076,Fall 2014,University of Hawai`i at Manoa,3,2014
152,PA,3080,Fall 2014,University of Hawai`i at Manoa,1,2014
153,CO,3084,Fall 2014,University of Hawai`i at Manoa,1,2014
154,WA,3086,Fall 2014,University of Hawai`i at Manoa,1,2014
155,FL,3087,Fall 2014,University of Hawai`i at Manoa,1,2014
156,HI,3088,Fall 2014,University of Hawai`i at Manoa,4,2014
158,ND,3097,Fall 2014,University of Hawai`i at Manoa,1,2014
159,RI,3100,Fall 2014,University of Hawai`i at Manoa,1,2014
160,HI,3103,Fall 2014,University of Hawai`i at Manoa,4,2014
161,CA,3104,Fall 2014,University of Hawai`i at Manoa,1,2014
162,CO,3107,Fall 2014,University of Hawai`i at Manoa,2,2014
163,CA,3108,Fall 2014,University of Hawai`i at Manoa,2,2014
164,CA,3109,Fall 2014,University of Hawai`i at Manoa,1,2014
165,OR,3112,Fall 2014,University of Hawai`i at Manoa,1,2014
166,NY,3114,Fall 2014,University of Hawai`i at Manoa,1,2014
167,HI,3117,Fall 2014,University of Hawai`i at Manoa,2,2014
168,HI,3118,Fall 2014,University of Hawai`i at Manoa,6,2014
169,CA,3121,Fall 2014,University of Hawai`i at Manoa,1,2014
170,HI,3126,Fall 2014,University of Hawai`i at Manoa,1,2014
171,CA,3130,Fall 2014,University of Hawai`i at Manoa,1,2014
172,CA,3140,Fall 2014,University of Hawai`i at Manoa,1,2014
173,HI,3141,Fall 2014,University of Hawai`i at Manoa,4,2014
174,AZ,3143,Fall 2014,University of Hawai`i at Manoa,2,2014
175,CA,3153,Fall 2014,University of Hawai`i at Manoa,1,2014
176,CA,3163,Fall 2014,University of Hawai`i at Manoa,2,2014
177,WA,3181,Fall 2014,University of Hawai`i at Manoa,1,2014
178,CA,3182,Fall 2014,University of Hawai`i at Manoa,1,2014
179,CA,3183,Fall 2014,University of Hawai`i at Manoa,1,2014
180,NJ,3184,Fall 2014,University of Hawai`i at Manoa,1,2014
181,CA,3187,Fall 2014,University of Hawai`i at Manoa,1,2014
182,CA,3188,Fall 2014,University of Hawai`i at Manoa,1,2014
183,CA,3190,Fall 2014,University of Hawai`i at Manoa,1,2014
184,NJ,3191,Fall 2014,University of Hawai`i at Manoa,1,2014
185,HI,3193,Fall 2014,University of Hawai`i at Manoa,1,2014
186,SC,3194,Fall 2014,University of Hawai`i at Manoa,1,2014
187,MI,3196,Fall 2014,University of Hawai`i at Manoa,1,2014
188,CA,3197,Fall 2014,University of Hawai`i at Manoa,1,2014
189,CA,3199,Fall 2014,University of Hawai`i at Manoa,1,2014
190,CA,3200,Fall 2014,University of Hawai`i at Manoa,1,2014
191,DC,3201,Fall 2014,University of Hawai`i at Manoa,1,2014
193,OR,3206,Fall 2014,University of Hawai`i at Manoa,1,2014
194,IL,3207,Fall 2014,University of Hawai`i at Manoa,1,2014
195,CA,3209,Fall 2014,University of Hawai`i at Manoa,1,2014
196,WI,3210,Fall 2014,University of Hawai`i at Manoa,1,2014
197,CA,3211,Fall 2014,University of Hawai`i at Manoa,1,2014
198,AZ,3212,Fall 2014,University of Hawai`i at Manoa,2,2014
199,CA,3213,Fall 2014,University of Hawai`i at Manoa,2,2014
200,AK,3222,Fall 2014,University of Hawai`i at Manoa,1,2014
201,CA,3224,Fall 2014,University of Hawai`i at Manoa,8,2014
202,VA,3225,Fall 2014,University of Hawai`i at Manoa,1,2014
203,MD,3227,Fall 2014,University of Hawai`i at Manoa,1,2014
204,CA,3233,Fall 2014,University of Hawai`i at Manoa,2,2014
205,CA,3236,Fall 2014,University of Hawai`i at Manoa,1,2014
206,VA,3237,Fall 2014,University of Hawai`i at Manoa,1,2014
207,CA,3239,Fall 2014,University of Hawai`i at Manoa,1,2014
208,ID,3240,Fall 2014,University of Hawai`i at Manoa,2,2014
209,WY,3241,Fall 2014,University of Hawai`i at Manoa,3,2014
210,IL,3242,Fall 2014,University of Hawai`i at Manoa,1,2014
211,VA,3245,Fall 2014,University of Hawai`i at Manoa,1,2014
212,HI,3246,Fall 2014,University of Hawai`i at Manoa,3,2014
213,UT,3247,Fall 2014,University of Hawai`i at Manoa,5,2014
214,MA,3249,Fall 2014,University of Hawai`i at Manoa,1,2014
215,CA,3250,Fall 2014,University of Hawai`i at Manoa,2,2014
216,AZ,3256,Fall 2014,University of Hawai`i at Manoa,2,2014
217,PA,3260,Fall 2014,University of Hawai`i at Manoa,1,2014
218,CO,3261,Fall 2014,University of Hawai`i at Manoa,1,2014
219,CA,3262,Fall 2014,University of Hawai`i at Manoa,1,2014
220,CA,3265,Fall 2014,University of Hawai`i at Manoa,1,2014
221,WA,3267,Fall 2014,University of Hawai`i at Manoa,1,2014
223,HI,3269,Fall 2014,University of Hawai`i at Manoa,3,2014
224,AZ,3270,Fall 2014,University of Hawai`i at Manoa,2,2014
225,WA,3272,Fall 2014,University of Hawai`i at Manoa,1,2014
226,NY,3282,Fall 2014,University of Hawai`i at Manoa,1,2014
227,AL,3283,Fall 2014,University of Hawai`i at Manoa,1,2014
228,MD,3284,Fall 2014,University of Hawai`i at Manoa,1,2014
229,IL,3285,Fall 2014,University of Hawai`i at Manoa,1,2014
230,CA,3287,Fall 2014,University of Hawai`i at Manoa,1,2014
231,CA,3288,Fall 2014,University of Hawai`i at Manoa,2,2014
232,NY,3290,Fall 2014,University of Hawai`i at Manoa,1,2014
233,TX,3291,Fall 2014,University of Hawai`i at Manoa,1,2014
234,CA,3300,Fall 2014,University of Hawai`i at Manoa,2,2014
235,CA,3302,Fall 2014,University of Hawai`i at Manoa,1,2014
236,CA,3303,Fall 2014,University of Hawai`i at Manoa,1,2014
237,IA,3306,Fall 2014,University of Hawai`i at Manoa,1,2014
238,CO,3307,Fall 2014,University of Hawai`i at Manoa,1,2014
239,HI,3313,Fall 2014,University of Hawai`i at Manoa,1,2014
240,HI,3314,Fall 2014,University of Hawai`i at Manoa,3,2014
241,ND,3315,Fall 2014,University of Hawai`i at Manoa,1,2014
242,WA,3316,Fall 2014,University of Hawai`i at Manoa,1,2014
243,HI,3319,Fall 2014,University of Hawai`i at Manoa,2,2014
244,HI,3320,Fall 2014,University of Hawai`i at Manoa,1,2014
245,HI,3324,Fall 2014,University of Hawai`i at Manoa,2,2014
246,CA,3327,Fall 2014,University of Hawai`i at Manoa,1,2014
247,CO,3337,Fall 2014,University of Hawai`i at Manoa,1,2014
248,CA,3338,Fall 2014,University of Hawai`i at Manoa,2,2014
249,ME,3340,Fall 2014,University of Hawai`i at Manoa,1,2014
250,CA,3341,Fall 2014,University of Hawai`i at Manoa,1,2014
251,MT,3342,Fall 2014,University of Hawai`i at Manoa,1,2014
252,HI,3343,Fall 2014,University of Hawai`i at Manoa,1,2014
253,IL,3344,Fall 2014,University of Hawai`i at Manoa,1,2014
254,NH,3350,Fall 2014,University of Hawai`i at Manoa,1,2014
255,MA,3351,Fall 2014,University of Hawai`i at Manoa,1,2014
256,CA,3357,Fall 2014,University of Hawai`i at Manoa,1,2014
257,ID,3359,Fall 2014,University of Hawai`i at Manoa,1,2014
258,CA,3361,Fall 2014,University of Hawai`i at Manoa,1,2014
259,WI,3362,Fall 2014,University of Hawai`i at Manoa,1,2014
260,HI,3363,Fall 2014,University of Hawai`i at Manoa,1,2014
261,CA,3365,Fall 2014,University of Hawai`i at Manoa,1,2014
262,TN,3366,Fall 2014,University of Hawai`i at Manoa,1,2014
263,OR,3367,Fall 2014,University of Hawai`i at Manoa,2,2014
264,CA,3368,Fall 2014,University of Hawai`i at Manoa,1,2014
265,WV,3372,Fall 2014,University of Hawai`i at Manoa,1,2014
266,VA,3373,Fall 2014,University of Hawai`i at Manoa,1,2014
267,CA,3375,Fall 2014,University of Hawai`i at Manoa,1,2014
268,CA,3376,Fall 2014,University of Hawai`i at Manoa,1,2014
269,CA,3379,Fall 2014,University of Hawai`i at Manoa,1,2014
270,CA,3382,Fall 2014,University of Hawai`i at Manoa,3,2014
271,CA,3384,Fall 2014,University of Hawai`i at Manoa,1,2014
272,CA,3385,Fall 2014,University of Hawai`i at Manoa,2,2014
273,CA,3387,Fall 2014,University of Hawai`i at Manoa,1,2014
274,GA,3391,Fall 2014,University of Hawai`i at Manoa,1,2014
275,UT,3394,Fall 2014,University of Hawai`i at Manoa,2,2014
276,CA,3395,Fall 2014,University of Hawai`i at Manoa,1,2014
277,HI,3398,Fall 2014,University of Hawai`i at Manoa,1,2014
278,MA,3400,Fall 2014,University of Hawai`i at Manoa,1,2014
279,RI,3403,Fall 2014,University of Hawai`i at Manoa,1,2014
280,NC,3406,Fall 2014,University of Hawai`i at Manoa,1,2014
281,CA,3407,Fall 2014,University of Hawai`i at Manoa,1,2014
282,HI,3410,Fall 2014,University of Hawai`i at Manoa,1,2014
283,WA,3411,Fall 2014,University of Hawai`i at Manoa,1,2014
284,WA,3413,Fall 2014,University of Hawai`i at Manoa,2,2014
285,CA,3414,Fall 2014,University of Hawai`i at Manoa,2,2014
286,NV,3417,Fall 2014,University of Hawai`i at Manoa,1,2014
287,MA,3419,Fall 2014,University of Hawai`i at Manoa,1,2014
288,CA,3420,Fall 2014,University of Hawai`i at Manoa,1,2014
289,CO,3422,Fall 2014,University of Hawai`i at Manoa,1,2014
290,MO,3424,Fall 2014,University of Hawai`i at Manoa,1,2014
291,CA,3428,Fall 2014,University of Hawai`i at Manoa,3,2014
292,CA,3430,Fall 2014,University of Hawai`i at Manoa,1,2014
293,ID,3431,Fall 2014,University of Hawai`i at Manoa,1,2014
294,WA,3433,Fall 2014,University of Hawai`i at Manoa,1,2014
295,CA,3434,Fall 2014,University of Hawai`i at Manoa,1,2014
296,WA,3435,Fall 2014,University of Hawai`i at Manoa,1,2014
297,CA,3436,Fall 2014,University of Hawai`i at Manoa,1,2014
298,TX,3437,Fall 2014,University of Hawai`i at Manoa,1,2014
299,CA,3441,Fall 2014,University of Hawai`i at Manoa,2,2014
300,CA,3443,Fall 2014,University of Hawai`i at Manoa,1,2014
301,CA,3445,Fall 2014,University of Hawai`i at Manoa,1,2014
302,IL,3446,Fall 2014,University of Hawai`i at Manoa,1,2014
303,NJ,3447,Fall 2014,University of Hawai`i at Manoa,1,2014
304,WA,3455,Fall 2014,University of Hawai`i at Manoa,1,2014
305,CA,3457,Fall 2014,University of Hawai`i at Manoa,1,2014
306,TX,3463,Fall 2014,University of Hawai`i at Manoa,1,2014
307,CA,3466,Fall 2014,University of Hawai`i at Manoa,1,2014
308,HI,3467,Fall 2014,University of Hawai`i at Manoa,2,2014
309,FL,3468,Fall 2014,University of Hawai`i at Manoa,1,2014
310,CA,3469,Fall 2014,University of Hawai`i at Manoa,1,2014
311,NV,3473,Fall 2014,University of Hawai`i at Manoa,1,2014
312,MA,3477,Fall 2014,University of Hawai`i at Manoa,1,2014
313,HI,3478,Fall 2014,University of Hawai`i at Manoa,2,2014
314,HI,3479,Fall 2014,University of Hawai`i at Manoa,1,2014
315,HI,3482,Fall 2014,University of Hawai`i at Manoa,2,2014
316,KY,3483,Fall 2014,University of Hawai`i at Manoa,1,2014
317,NC,3485,Fall 2014,University of Hawai`i at Manoa,1,2014
318,HI,3491,Fall 2014,University of Hawai`i at Manoa,1,2014
319,WA,3494,Fall 2014,University of Hawai`i at Manoa,1,2014
320,CA,3500,Fall 2014,University of Hawai`i at Manoa,1,2014
321,WA,3501,Fall 2014,University of Hawai`i at Manoa,1,2014
322,WA,3502,Fall 2014,University of Hawai`i at Manoa,3,2014
323,CA,3503,Fall 2014,University of Hawai`i at Manoa,2,2014
324,ID,3504,Fall 2014,University of Hawai`i at Manoa,1,2014
325,nan,3510,Fall 2014,University of Hawai`i at Manoa,1,2014
326,HI,3514,Fall 2014,University of Hawai`i at Manoa,2,2014
327,AZ,3516,Fall 2014,University of Hawai`i at Manoa,1,2014
328,AR,3517,Fall 2014,University of Hawai`i at Manoa,1,2014
329,HI,3519,Fall 2014,University of Hawai`i at Manoa,2,2014
330,CA,3520,Fall 2014,University of Hawai`i at Manoa,2,2014
331,NM,3521,Fall 2014,University of Hawai`i at Manoa,1,2014
333,CA,3524,Fall 2014,University of Hawai`i at Manoa,2,2014
334,MI,3526,Fall 2014,University of Hawai`i at Manoa,1,2014
335,CT,3527,Fall 2014,University of Hawai`i at Manoa,1,2014
336,CO,3530,Fall 2014,University of Hawai`i at Manoa,1,2014
337,CA,3535,Fall 2014,University of Hawai`i at Manoa,1,2014
338,IA,3539,Fall 2014,University of Hawai`i at Manoa,1,2014
339,CA,3540,Fall 2014,University of Hawai`i at Manoa,1,2014
340,RI,3541,Fall 2014,University of Hawai`i at Manoa,1,2014
342,CA,3544,Fall 2014,University of Hawai`i at Manoa,1,2014
343,NC,3545,Fall 2014,University of Hawai`i at Manoa,1,2014
344,OH,3549,Fall 2014,University of Hawai`i at Manoa,1,2014
345,FL,3550,Fall 2014,University of Hawai`i at Manoa,1,2014
346,MA,3551,Fall 2014,University of Hawai`i at Manoa,1,2014
347,NY,3552,Fall 2014,University of Hawai`i at Manoa,1,2014
348,AZ,3554,Fall 2014,University of Hawai`i at Manoa,1,2014
349,NM,3555,Fall 2014,University of Hawai`i at Manoa,1,2014
350,CA,3556,Fall 2014,University of Hawai`i at Manoa,1,2014
351,CA,3557,Fall 2014,University of Hawai`i at Manoa,1,2014
352,KS,3558,Fall 2014,University of Hawai`i at Manoa,1,2014
353,CA,3564,Fall 2014,University of Hawai`i at Manoa,1,2014
354,HI,3565,Fall 2014,University of Hawai`i at Manoa,4,2014
355,CA,3566,Fall 2014,University of Hawai`i at Manoa,1,2014
356,CA,3567,Fall 2014,University of Hawai`i at Manoa,2,2014
357,GA,3568,Fall 2014,University of Hawai`i at Manoa,1,2014
358,FL,3570,Fall 2014,University of Hawai`i at Manoa,1,2014
359,CA,3571,Fall 2014,University of Hawai`i at Manoa,1,2014
360,MO,3579,Fall 2014,University of Hawai`i at Manoa,1,2014
361,WA,3580,Fall 2014,University of Hawai`i at Manoa,1,2014
362,AZ,3583,Fall 2014,University of Hawai`i at Manoa,1,2014
363,WA,3584,Fall 2014,University of Hawai`i at Manoa,1,2014
364,MD,3585,Fall 2014,University of Hawai`i at Manoa,1,2014
365,MT,3586,Fall 2014,University of Hawai`i at Manoa,1,2014
366,OR,3590,Fall 2014,University of Hawai`i at Manoa,1,2014
367,CA,3592,Fall 2014,University of Hawai`i at Manoa,1,2014
368,NE,3596,Fall 2014,University of Hawai`i at Manoa,1,2014
369,nan,3600,Fall 2014,University of Hawai`i at Manoa,1,2014
370,CA,3601,Fall 2014,University of Hawai`i at Manoa,1,2014
371,MD,3606,Fall 2014,University of Hawai`i at Manoa,1,2014
372,CA,3607,Fall 2014,University of Hawai`i at Manoa,1,2014
373,MA,3610,Fall 2014,University of Hawai`i at Manoa,1,2014
374,WA,3612,Fall 2014,University of Hawai`i at Manoa,1,2014
375,CA,3613,Fall 2014,University of Hawai`i at Manoa,1,2014
377,CA,3617,Fall 2014,University of Hawai`i at Manoa,2,2014
378,CA,3619,Fall 2014,University of Hawai`i at Manoa,1,2014
379,CA,3621,Fall 2014,University of Hawai`i at Manoa,1,2014
380,CO,3622,Fall 2014,University of Hawai`i at Manoa,1,2014
381,VA,3624,Fall 2014,University of Hawai`i at Manoa,1,2014
382,UT,3626,Fall 2014,University of Hawai`i at Manoa,1,2014
383,HI,3631,Fall 2014,University of Hawai`i at Manoa,2,2014
384,CA,3633,Fall 2014,University of Hawai`i at Manoa,1,2014
385,HI,3637,Fall 2014,University of Hawai`i at Manoa,1,2014
386,TX,3642,Fall 2014,University of Hawai`i at Manoa,1,2014
387,RI,3643,Fall 2014,University of Hawai`i at Manoa,1,2014
388,CA,3646,Fall 2014,University of Hawai`i at Manoa,1,2014
389,CA,3649,Fall 2014,University of Hawai`i at Manoa,1,2014
390,CA,3650,Fall 2014,University of Hawai`i at Manoa,1,2014
391,HI,3652,Fall 2014,University of Hawai`i at Manoa,1,2014
392,IL,3653,Fall 2014,University of Hawai`i at Manoa,1,2014
393,OR,3655,Fall 2014,University of Hawai`i at Manoa,1,2014
394,CA,3658,Fall 2014,University of Hawai`i at Manoa,1,2014
395,NJ,3664,Fall 2014,University of Hawai`i at Manoa,1,2014
396,TX,3666,Fall 2014,University of Hawai`i at Manoa,2,2014
397,MA,3667,Fall 2014,University of Hawai`i at Manoa,1,2014
398,IN,3669,Fall 2014,University of Hawai`i at Manoa,1,2014
399,MA,3671,Fall 2014,University of Hawai`i at Manoa,1,2014
400,CA,3672,Fall 2014,University of Hawai`i at Manoa,1,2014
401,MD,3673,Fall 2014,University of Hawai`i at Manoa,2,2014
402,CO,3674,Fall 2014,University of Hawai`i at Manoa,1,2014
403,WI,3675,Fall 2014,University of Hawai`i at Manoa,1,2014
404,CA,3676,Fall 2014,University of Hawai`i at Manoa,1,2014
405,CA,3677,Fall 2014,University of Hawai`i at Manoa,2,2014
406,CA,3678,Fall 2014,University of Hawai`i at Manoa,1,2014
407,TX,3679,Fall 2014,University of Hawai`i at Manoa,1,2014
408,MD,3680,Fall 2014,University of Hawai`i at Manoa,1,2014
409,AK,3682,Fall 2014,University of Hawai`i at Manoa,1,2014
410,CA,3693,Fall 2014,University of Hawai`i at Manoa,1,2014
411,FL,3694,Fall 2014,University of Hawai`i at Manoa,1,2014
412,OH,3695,Fall 2014,University of Hawai`i at Manoa,2,2014
413,CA,3696,Fall 2014,University of Hawai`i at Manoa,2,2014
414,HI,3697,Fall 2014,University of Hawai`i at Manoa,2,2014
415,ID,3701,Fall 2014,University of Hawai`i at Manoa,2,2014
416,CA,3703,Fall 2014,University of Hawai`i at Manoa,1,2014
417,CA,3705,Fall 2014,University of Hawai`i at Manoa,1,2014
